principal_component_1,principal_component_2,cluster
-1.1932976120861847,-0.010001802478588957,1
0.78081609193969,-1.0010008711127394,2
0.2967640455352545,0.34205841993788544,1
0.058743123015950076,-0.8992328104475205,1
2.590820881685231,-0.4571310747734839,2
0.25716704473536683,1.2933666358251175,0
-2.3418785576762735,-0.5849639216292788,1
-0.9393305458650751,-0.9625377668733782,1
0.15180587906292434,-1.287445233450289,1
1.1509907160784745,0.006620621709082364,2
0.16770010944206656,0.005574993317941728,1
1.4965845731844292,-0.8689218831048827,2
-1.0225839060483866,3.5975436166508348,0
-0.9421589666645799,-0.6516198738915876,1
-1.456367516208183,-0.009469876997880907,1
-1.9603313233527293,-0.1528605029850923,1
2.0452724196541037,-0.24857741071658596,2
-1.4344427199241598,-0.648594038409452,1
-0.7426671914433998,-0.9400224156088914,1
2.207186620808648,-0.0855361525848952,2
1.6720825940453006,1.2305609548972578,2
2.628668576945717,-0.25134758617301073,2
2.449825869210863,-0.17962004795757142,2
-1.4126350104436445,-0.39428170965213705,1
1.3361566787004464,-0.007765237524638305,2
1.6889596166245608,0.12522656651055614,2
-0.8035955691343101,-0.6186699048301764,1
0.9727491397212178,-0.7335597185366736,2
-1.7259555437279905,-0.6502396682870089,1
1.0926086638960804,0.20798911735973613,2
0.509822150174404,-0.7492957665065522,1
0.07097040944752667,-0.527999718134076,1
-0.457426900252428,-0.39707270154332186,1
-0.020806852629765362,-1.068734718152519,1
-2.1017699729954917,-0.4138291753761006,1
-0.16627120493101036,-0.8250867650144512,1
-0.3694010104939342,-0.9084386602137584,1
-0.7833980786409488,-0.380181256204546,1
-1.0695914935656643,-0.9045889448557916,1
-0.5620289679112607,-0.8852367341785885,1
-1.1667399494222384,1.5076710527765604,0
-0.4715268247679678,-1.0237602790892053,1
-0.4515922034949604,-1.2040625765182704,1
-0.7775797750257096,1.5444804795527318,0
-0.01713838942306506,-0.9923650988835104,1
-0.8744659855826193,-0.8166984130117756,1
-0.5574163985435847,-0.7094883798931381,1
1.1128708727025836,0.08546881480020596,2
2.1082988794643875,-1.4544031060631024,2
-1.209833789882761,2.9745585988147214,0
-1.1967683463672718,2.989368850053681,0
1.8278346656224527,0.8632887593522681,2
-0.3048301902402193,-0.6577258234238459,1
-0.4850676034706099,2.1380592642653093,0
1.682243694996586,-0.11337230512794913,2
-1.702391625742718,-0.5875143680491937,1
-1.7766531599863755,-0.4479721551701333,1
-0.5907619987644814,-0.6061202236559067,1
-0.9664434141233341,-0.836691975625467,1
-1.075362889912618,2.1827942937865616,0
-0.5230844364442837,-0.08579364963466238,1
2.324132802217311,-0.12869115526224298,2
-0.6793779610416927,0.9788424719571047,0
-0.906884195135318,3.0445925769213362,0
2.5392906110898004,-0.2972898822336888,2
-2.6099772299720447,-0.10765948467994535,1
